Postal Code,Neighbourhood,Borough,Population,Density (people/km2),Average Income,Transit Commuting %,% Renters
M9L,Humber Summit,North York,12766,1618,26117,7.3,7.6
M9M,The Elms,Etobicoke,9437,3300,28014,12.6,13.7
M9M,Humberlea,North York,4327,2164,30907,8.7,7.9
M9M,Humbermede,North York,14778,3397,24297,11.8,14.6
M9M,Pelmo Park,North York,4402,2001,32002,9.4,3.6
M9N,Weston,York,16476,6564,27446,15.5,26.5
M9P,Humber Heights,Etobicoke,4674,2766,39738,10.1,9.7
M9P,Westmount,Etobicoke,5857,5932,35183,9.6,23.4
M9R,Kingsview Village,Etobicoke,16254,4013,32004,11.8,14.6
M9R,Richview,Etobicoke,26053,4002,34579,10.6,16.3
M9V,Thistletown,Etobicoke,16790,4229,28955,11.2,13.7
M9V,Smithfield,Etobicoke,34996,5426,24387,12.8,12.7
M9W,Clairville,Etobicoke,8506,1268,26610,13.2,7.2
M9W,Humberwood,Etobicoke,7319,421,29576,7.9,7
M2N,North York City Centre,North York,10427,37239,34330,19,19.5
M6N,Harwood,York,3375,4327,22136,12.3,17.8
